Book,Author,Genere1,Genere2,Genere3,Genere4,Genere5,Genere6,Genere7,Combined_Features
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,Fantasy,Young Adult,Fiction,Young Adult Fantasy,Romance,LGBT,Adventure,six of crows six of crows  leigh bardugo fantasy young adult fiction young adult fantasy romance lgbt adventure
A Decade of Desire: Erotic Tales from the Charlie Doyle Diaries,Charles Dyson,Contemporary,Epic,Romance,Erotica,0,0,0,a decade of desire erotic tales from the charlie doyle diaries charles dyson contemporary epic romance erotica   
"Chocolat (Chocolat, #1)",Joanne Harris,Fiction,Romance,Magical Realism,France,Fantasy,Contemporary,Historical Fiction,chocolat chocolat  joanne harris fiction romance magical realism france fantasy contemporary historical fiction
All the Bright Places,Jennifer Niven,Young Adult,Romance,Contemporary,Fiction,Mental Health,Realistic Fiction,Mental Illness,all the bright places jennifer niven young adult romance contemporary fiction mental health realistic fiction mental illness
"Desecrating Solomon (Desecration, #1)",Lucian Bane,Romance,Dark,0,0,0,0,0,desecrating solomon desecration  lucian bane romance dark     
Traveling Mercies: Some Thoughts on Faith,Anne Lamott,Nonfiction,Memoir,Spirituality,Religion,Faith,Christian,Essays,traveling mercies some thoughts on faith anne lamott nonfiction memoir spirituality religion faith christian essays
Hard Times,Charles Dickens,Classics,Fiction,Literature,19th Century,Victorian,Novels,Historical Fiction,hard times charles dickens classics fiction literature th century victorian novels historical fiction
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,Self Help,Nonfiction,Personal Development,Audiobook,Psychology,Business,Inspirational,you are a badass how to stop doubting your greatness and start living an awesome life jen sincero self help nonfiction personal development audiobook psychology business inspirational
"Plague of Angels (The Descended, #1)",John Patrick Kennedy,Fantasy,Angels,Paranormal,Fiction,Mythology,Dark,Demons,plague of angels the descended  john patrick kennedy fantasy angels paranormal fiction mythology dark demons
A Man for All Seasons: A Play in Two Acts,Robert Bolt,Plays,Classics,Drama,Historical Fiction,Fiction,Literature,School,a man for all seasons a play in two acts robert bolt plays classics drama historical fiction fiction literature school
Alive: The Story of the Andes Survivors,Piers Paul Read,Nonfiction,History,Adventure,Survival,Biography,Travel,Memoir,alive the story of the andes survivors piers paul read nonfiction history adventure survival biography travel memoir
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,Science,Nonfiction,Physics,Astronomy,Popular Science,Space,Philosophy,the elegant universe superstrings hidden dimensions and the quest for the ultimate theory brian greene science nonfiction physics astronomy popular science space philosophy
"Mrs. Frisby and the Rats of NIMH (Rats of NIMH, #1)",Robert C. O'Brien,Fantasy,Fiction,Childrens,Classics,Young Adult,Middle Grade,Animals,mrs frisby and the rats of nimh rats of nimh  robert c obrien fantasy fiction childrens classics young adult middle grade animals
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,Romance,Paranormal,Vampires,Paranormal Romance,Fantasy,Urban Fantasy,Adult,dark lover black dagger brotherhood  jr ward romance paranormal vampires paranormal romance fantasy urban fantasy adult
The Room,Hubert Selby Jr.,Fiction,Horror,Thriller,Dark,Mystery,Contemporary,Classics,the room hubert selby jr fiction horror thriller dark mystery contemporary classics
Stoner,John  Williams,Fiction,Classics,Literature,Novels,Historical Fiction,American,Literary Fiction,stoner john  williams fiction classics literature novels historical fiction american literary fiction
"One Thousand White Women: The Journals of May Dodd (One Thousand White Women, #1)",Jim Fergus,Historical Fiction,Fiction,Historical,Book Club,Westerns,Adult,Adult Fiction,one thousand white women the journals of may dodd one thousand white women  jim fergus historical fiction fiction historical book club westerns adult adult fiction
"You Are Special (Wemmicksville, #1)",Max Lucado,Picture Books,Childrens,Christian,Fiction,Religion,Inspirational,Christian Fiction,you are special wemmicksville  max lucado picture books childrens christian fiction religion inspirational christian fiction
Endurance: Shackleton's Incredible Voyage,Alfred Lansing,Nonfiction,History,Adventure,Biography,Travel,Audiobook,Survival,endurance shackletons incredible voyage alfred lansing nonfiction history adventure biography travel audiobook survival
A Summer of Good-Byes (Blue Triangle Press Book 2),Fred Misurella,Fiction,Novels,Contemporary,Adult,Adventure,Young Adult,New Adult,a summer of goodbyes blue triangle press book  fred misurella fiction novels contemporary adult adventure young adult new adult
"Fallen (Fallen, #1)",Lauren Kate,Young Adult,Fantasy,Romance,Paranormal,Angels,Paranormal Romance,Fiction,fallen fallen  lauren kate young adult fantasy romance paranormal angels paranormal romance fiction
The 120 Days of Sodom,Marquis de Sade,Classics,Fiction,Horror,Erotica,France,Philosophy,French Literature,the  days of sodom marquis de sade classics fiction horror erotica france philosophy french literature
Deception Point,Dan Brown,Fiction,Thriller,Mystery,Suspense,Mystery Thriller,Adventure,Science Fiction,deception point dan brown fiction thriller mystery suspense mystery thriller adventure science fiction
Less Than Zero,Bret Easton Ellis,Fiction,Contemporary,Novels,American,Literature,Classics,Literary Fiction,less than zero bret easton ellis fiction contemporary novels american literature classics literary fiction
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,Nonfiction,Science,Health,Psychology,Self Help,Audiobook,Neuroscience,why we sleep unlocking the power of sleep and dreams matthew walker nonfiction science health psychology self help audiobook neuroscience
Circe,Madeline Miller,Fantasy,Fiction,Mythology,Historical Fiction,Greek Mythology,Retellings,Audiobook,circe madeline miller fantasy fiction mythology historical fiction greek mythology retellings audiobook
The Artist's Way: A Spiritual Path to Higher Creativity,Julia Cameron,Nonfiction,Art,Writing,Self Help,Spirituality,Psychology,Personal Development,the artists way a spiritual path to higher creativity julia cameron nonfiction art writing self help spirituality psychology personal development
We Should All Be Feminists,Chimamanda Ngozi Adichie,Nonfiction,Feminism,Essays,Audiobook,Politics,Womens,Social Justice,we should all be feminists chimamanda ngozi adichie nonfiction feminism essays audiobook politics womens social justice
"Resonance (The Fray Theory, #1)",Nelou Keramati,Fantasy,Young Adult,Romance,Urban Fantasy,Science Fiction,Paranormal,New Adult,resonance the fray theory  nelou keramati fantasy young adult romance urban fantasy science fiction paranormal new adult
"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,Fantasy,Fiction,Epic Fantasy,High Fantasy,Science Fiction Fantasy,Magic,Adventure,wizards first rule sword of truth  terry goodkind fantasy fiction epic fantasy high fantasy science fiction fantasy magic adventure
Pigs in Heaven,Barbara Kingsolver,Fiction,Contemporary,Literary Fiction,Adult Fiction,Novels,Literature,Adult,pigs in heaven barbara kingsolver fiction contemporary literary fiction adult fiction novels literature adult
"Noughts & Crosses (Noughts & Crosses, #1)",Malorie Blackman,Young Adult,Romance,Fiction,Dystopia,Science Fiction,Fantasy,Contemporary,noughts  crosses noughts  crosses  malorie blackman young adult romance fiction dystopia science fiction fantasy contemporary
"Body In The Woods (Jack Ludefance, #2)",Behcet Kaya,Contemporary,Fiction,Drama,Novels,Mystery Thriller,Horror,Thriller,body in the woods jack ludefance  behcet kaya contemporary fiction drama novels mystery thriller horror thriller
The Zahir,Paulo Coelho,Fiction,Novels,Philosophy,Contemporary,Romance,Spirituality,Literature,the zahir paulo coelho fiction novels philosophy contemporary romance spirituality literature
Let the Right One In,John Ajvide Lindqvist,Horror,Fiction,Vampires,Fantasy,Paranormal,Thriller,Supernatural,let the right one in john ajvide lindqvist horror fiction vampires fantasy paranormal thriller supernatural
The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny,Robin S. Sharma,Self Help,Nonfiction,Philosophy,Spirituality,Personal Development,Psychology,Inspirational,the monk who sold his ferrari a fable about fulfilling your dreams and reaching your destiny robin s sharma self help nonfiction philosophy spirituality personal development psychology inspirational
Eleanor Oliphant Is Completely Fine,Gail Honeyman,Fiction,Contemporary,Audiobook,Mental Health,Adult,Adult Fiction,Romance,eleanor oliphant is completely fine gail honeyman fiction contemporary audiobook mental health adult adult fiction romance
An Inconvenient Truth: The Planetary Emergency of Global Warming and What We Can Do About It,Al Gore,Nonfiction,Science,Environment,Politics,Climate Change,Sustainability,Nature,an inconvenient truth the planetary emergency of global warming and what we can do about it al gore nonfiction science environment politics climate change sustainability nature
"The Blade Artist (Mark Renton, #4)",Irvine Welsh,Fiction,Thriller,Crime,Mystery,Contemporary,Scotland,Dark,the blade artist mark renton  irvine welsh fiction thriller crime mystery contemporary scotland dark
"Betrayal of Faith (Zachary Blake Legal Thriller, #1)",Mark M. Bello,Contemporary,Fiction,Mystery,Drama,Thriller,Novels,Legal Thriller,betrayal of faith zachary blake legal thriller  mark m bello contemporary fiction mystery drama thriller novels legal thriller
Median Gray,Bill Mesce Jr.,Fiction,Crime,Epic,Detective,Mystery,Contemporary,0,median gray bill mesce jr fiction crime epic detective mystery contemporary 
"Will Grayson, Will Grayson",John Green,Young Adult,Contemporary,LGBT,Fiction,Romance,Queer,Realistic Fiction,will grayson will grayson john green young adult contemporary lgbt fiction romance queer realistic fiction
The Chrysalids,John Wyndham,Science Fiction,Fiction,Classics,Dystopia,Fantasy,Post Apocalyptic,Young Adult,the chrysalids john wyndham science fiction fiction classics dystopia fantasy post apocalyptic young adult
Watchers,Dean Koontz,Horror,Fiction,Thriller,Science Fiction,Mystery,Suspense,Fantasy,watchers dean koontz horror fiction thriller science fiction mystery suspense fantasy
"Red Queen (Red Queen, #1)",Victoria Aveyard,Fantasy,Young Adult,Dystopia,Romance,Fiction,Young Adult Fantasy,Magic,red queen red queen  victoria aveyard fantasy young adult dystopia romance fiction young adult fantasy magic
The Drowned World,J.G. Ballard,Science Fiction,Fiction,Post Apocalyptic,Dystopia,Fantasy,Classics,Novels,the drowned world jg ballard science fiction fiction post apocalyptic dystopia fantasy classics novels
A Doll's House,Henrik Ibsen,Plays,Classics,Fiction,Drama,School,Theatre,Feminism,a dolls house henrik ibsen plays classics fiction drama school theatre feminism
"Legend (Legend, #1)",Marie Lu,Young Adult,Dystopia,Fantasy,Science Fiction,Romance,Fiction,Adventure,legend legend  marie lu young adult dystopia fantasy science fiction romance fiction adventure
